DOW,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone
11039600,Diamond,57.927,75.26,57.93,57.93,75.26,15
11040000,Jack,76.553,53.92,76.55,95.35,67.16,24
11041100,Pine Mountain,611.08,37.92,611.08,611.08,37.92,15
11041200,Birch,761.907,60.13,761.91,788.12,62.19,16
11041300,Ten Mile,1454.446,28.82,1454.45,1840.16,36.46,22
11041500,Pike Bay,2194.533,46.19,2194.53,2194.53,46.19,15
11045400,Long,64.529,45.28,64.53,60.74,42.62,14
11046300,Variety,71.137,44.54,71.14,71.14,44.54,15
11047200,Howard,121.461,31.50,121.46,185.18,48.03,22
11047600,Portage,90.674,32.02,90.67,118.44,41.82,23
11048000,Long,128.103,45.05,128.10,163.28,57.42,23
11048200,May,63.296,44.16,63.30,86.26,60.18,21
11048400,Twin,168.753,100.00,168.75,168.75,100.00,15
11048800,Thirteen,389.925,70.03,389.93,389.93,70.03,15
11049000,Portage,169.742,47.52,169.74,224.15,62.76,24
11049300,Welch,83.5,42.83,83.50,71.38,36.61,12
11049400,Crooked,255.379,45.21,255.38,232.63,41.18,12
11050000,Spider,133.211,91.36,133.21,107.20,73.52,8
