DOW,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone
11026100,McKeown,147.831,88.02,147.83,147.83,88.02,15
11026200,Kid,38.048,22.64,38.05,38.05,22.64,15
11026300,Child,162.466,49.90,162.47,162.47,49.90,15
11026500,Little Woman,35.913,100.00,35.91,35.72,99.45,13
11027000,Trillium,108.19,69.59,108.19,128.59,82.71,21
11027300,Widow,83.622,41.72,83.62,130.00,64.85,25
11027400,Blackwater,365.48,47.55,365.48,476.08,61.94,26
11027500,Sand,41.06,99.36,41.06,41.06,99.36,9
11027700,Big Deep,85.28,15.92,85.28,135.53,25.30,26
11027900,Sand,60.513,40.83,60.51,51.26,34.59,12
11028100,Barnum,103.864,68.63,103.86,151.34,100.00,35
11028200,Man,115.614,23.80,115.61,135.94,27.98,18
11028300,Baby,240.431,31.62,240.43,407.31,53.56,22
11029200,Pine,181.154,69.45,181.15,181.15,69.45,15
11029500,Hazel,9.274,62.92,9.27,9.27,62.92,15
11029600,Moccasin,127.205,46.70,127.21,127.21,46.70,15
11030400,Sylvan,460.948,51.37,460.95,460.95,51.37,15
11030500,Gull,3390.462,34.01,3390.46,3390.46,34.01,15
11030700,Norway,514.879,100.00,514.88,514.88,100.00,14
11030801,Big Portage (West Bay),709.458,97.70,709.46,709.46,97.70,15
11030802,Big Portage (East Bay),176.183,100.00,176.18,176.18,100.00,15
11031100,Webb,263.162,35.37,263.16,421.30,56.62,24
11031300,Lower Sucker,302.436,51.44,302.44,283.81,48.27,14
11032000,Pillager,74.722,36.51,74.72,74.72,36.51,15
11032400,Rock,257.095,98.50,257.09,257.09,98.50,15
11035000,Bowen,51.062,28.03,51.06,51.06,28.03,15
11035100,Five Point,93.647,37.92,93.65,136.32,55.19,19
11035300,Beuber,89.649,68.07,89.65,79.43,60.32,13
11035500,Ox Yoke,106.079,56.81,106.08,136.33,73.01,25
11035800,Horseshoe,99.989,39.70,99.99,109.10,43.32,17
11036000,Island,101.062,93.40,101.06,101.06,93.40,15
11036100,Sanborn,86.203,39.13,86.20,135.31,61.42,27
11036700,Lind,288.766,65.64,288.77,347.41,78.97,19
11037100,Stony,198.936,35.32,198.94,229.25,40.70,20
11038100,Paquet,119.225,81.61,119.23,119.23,81.61,15
11038200,Boss,63.975,60.58,63.97,63.97,60.58,15
11038300,Pleasant,436.43,40.24,436.43,595.56,54.91,25
11038700,Little Webb,142.342,62.96,142.34,153.20,67.76,18
11039400,Hovde,118.921,89.44,118.92,68.69,51.66,6
