Lake.ID,Year,Lake.x,Max.depth,litt.ac,Lake.area.ac,Proportion.littoral,PrevAugSecchi,PrevAugSecchi.sc,IceDuration,IceDuration.sc,IceOff,Snow,Snow.sc,lake_year,foc_clp,SURVEY_START,nsamp,pcri.p_foc,perc.lit.chem,Acres_Chem,trt_date_lag0,YrsTrt,cytrt,yutrt,Trt,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,obs
62000200,2018,Bald Eagle,37,589.06,1049.456619,0.5613,1.8,0.831053865,142,0.855468169,,7.874,-0.138900223,2018,0.379310345,6/20/2018,145,0.379310345,3.327335076,19.6,5/1/2018,2,2,0,1,1,1,0,0,0,0,0,0,0,57
62000600,2024,Kohlman,11.60000038,82.9,82.9,1,0.6,-0.527308866,124,-0.34518891,,1.524,-1.323072638,2024,0.285714286,6/27/2024,112,0.285714286,14.95778046,12.4,4/30/2024,5,5,0,1,1,1,1,1,1,0,0,0,0,58
62000600,2025,Kohlman,11.60000038,82.9,82.9,1,0.96,-0.119800046,124,-0.34518891,,3.048,-1.038871258,2025,0.265486726,6/23/2025,113,0.265486726,18.79372738,15.58,4/30/2025,6,6,0,1,1,1,1,1,1,1,0,0,0,59
62005500,2024,Como,16,65.65,67.16112532,0.9775,0.78,-0.323554456,123,-0.411892081,,1.524,-1.323072638,2024,0.55,6/14/2024,60,0.55,108.6062452,71.3,4/4/2024,7,2,0,1,1,1,0,1,1,1,1,1,0,60
62005500,2025,Como,16,65.65,67.16112532,0.9775,0.6,-0.527308866,123,-0.411892081,,3.048,-1.038871258,2025,0.25,6/2/2025,60,0.25,108.6062452,71.3,4/15/2025,8,3,0,1,1,1,1,0,1,1,1,1,1,61
70002200,2019,Cleary,9,144.74,146.1724904,0.9902,0.55,-0.583907313,141,0.788764998,,13.97,0.997905294,2019,0.842424242,6/14/2019,165,0.842424242,100,145,5/1/2019,1,1,0,1,1,0,0,0,0,0,0,0,0,27
70002200,2022,Cleary,9,144.74,146.1724904,0.9902,0.63,-0.493349797,131,0.121733287,,9.652,0.192668052,2022,0.072727273,6/2/2022,165,0.072727273,100,145,4/20/2022,4,4,0,1,1,1,1,1,0,0,0,0,0,28
70002200,2020,Cleary,9,144.74,146.1724904,0.9902,1.55,0.54806163,134,0.3218428,,11.938,0.618970122,2020,0.408536585,6/5/2020,164,0.408536585,100,145,4/14/2020,2,2,0,1,1,1,0,0,0,0,0,0,0,62
71001300,2021,Orono,17,246.64,248.9552841,0.9907,0.6,-0.527308866,112,-1.145626963,,11.176,0.476869431,2021,0.220588235,6/13/2021,204,0.220588235,0,0,NA,4,0,1,0,0,1,1,1,1,0,0,0,0,31
71001300,2017,Orono,17,246.64,248.9552841,0.9907,NA,NA,103,-1.745955503,,3.302,-0.991504362,2017,0.323529412,6/12/2017,204,0.323529412,1.743431722,4.3,5/1/2017,1,1,0,1,1,0,0,0,0,0,0,0,0,63
