"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral"
"2017-1028","Anoka","George",2009100,2022,"EWM","Tribune",2022-05-27,2022-05-27,37.65,"George",383.264,383.26,383.26,78.66,78.66,15,9.82351590548551,9.82361843135208
"2017-1028","Anoka","George",2009100,2024,"EWM","Dibrox",2024-05-20,2024-05-20,37.1,"George",383.264,383.26,383.26,78.66,78.66,15,9.68001168907072,9.68011271721547
"2017-1028","Anoka","George",2009100,2025,"EWM","Diquat Herbicide",2025-05-14,2025-05-14,32.23,"George",383.264,383.26,383.26,78.66,78.66,15,8.40934708190699,8.40943484840578
"2017-1032","Wright","Charlotte",86001100,2023,"EWM","ProcellaCOR EC",2023-06-28,2023-06-28,11,"Charlotte",89.711,89.71,128.36,37.71,53.95,25,12.2615955679905,8.56964786537862
"2017-1034","Wright","Granite",86021700,2020,"EWM","ProcellaCOR EC",2020-07-09,2020-07-09,6.9,"Granite",118.179,118.18,87.98,33.47,24.92,11,5.83860076663367,7.84269152080018
"2017-1034","Wright","Granite",86021700,2025,"EWM","ProcellaCOR EC",2025-09-22,2025-09-22,6.5,"Granite",118.179,118.18,87.98,33.47,24.92,11,5.50013115697374,7.38804273698568
"2017-1036","Stearns","Marie",73001400,2022,"CLP","Aquathol K",2022-05-26,2022-05-26,14.3,"Marie",124.967,124.97,107.18,85.13,73.01,8,11.4430209575328,13.3420414256391
"2017-1037","Hennepin","Minnetonka",27013303,2020,"CLP","Tribune",2020-05-15,2020-05-15,4.8,"Minnetonka-Carsons Bay",78.863,78.86,78.86,68.68,68.68,15,6.08650444441627,6.08673598782653
"2017-1037","Hennepin","Minnetonka",27013303,2021,"CLP","Tribune",2021-05-24,2021-05-24,14.1,"Minnetonka-Carsons Bay",78.863,78.86,78.86,68.68,68.68,15,17.8791068054728,17.8797869642404
"2017-1037","Hennepin","Minnetonka",27013303,2022,"CLP","Tribune",2022-06-01,2022-06-01,23.4,"Minnetonka-Carsons Bay",78.863,78.86,78.86,68.68,68.68,15,29.6717091665293,29.6728379406543
